,Node,Authority Score,Hub Score
6,3,9.501171859429164e-05,4.021031640108498e-05
104,4,0.0,7.319607686392494e-05
116,5,0.0,3.50178847475866e-05
30,6,6.398065594995284e-05,0.0010539872862349862
341,7,0.0,8.200618013919855e-05
31,8,0.00018776680196309155,0.00032001233333516443
390,9,0.0,0.00023181963357001906
105,10,6.848818550903854e-05,0.00018207047609679252
408,11,0.0,0.004921182064008282
885,12,0.0,0.0002882286245350094
891,13,0.0,3.120053955933689e-05
892,14,0.0,0.0004975871202872621
409,15,0.002201543492543811,0.00041573260339102593
912,16,0.0,8.409812452558039e-05
913,17,0.0,0.00010084393686957114
914,18,0.0,3.617008656293838e-05
32,19,0.00012068234427826396,7.217473720787984e-05
915,20,0.0,0.0008868292176005439
949,21,0.0,0.0002928634622421032
952,22,0.0,6.217339200594855e-06
33,23,9.608194644915126e-05,0.00018134382080879202
958,24,0.0,0.0026453591091271282
29,25,0.0,0.00021311562591464213
1093,26,0.0,0.00014589156390955224
1194,27,0.0,0.0005196190515414367
7,28,0.00025475061392999266,0.0003569336095454782
34,29,0.00020033705890865384,0.0006751699797254746
0,30,9.508954836855905e-05,7.925509536499254e-05
1341,31,0.0,3.701485756023462e-05
342,32,4.0061984134324226e-05,1.3200870184766909e-05
35,33,0.0001371899667478044,6.99081608952255e-05
125,34,9.147820802404646e-05,8.00722619667132e-06
36,35,0.0006058524803871591,0.00021942583529712114
350,36,0.00022001355411983186,0.0019031263078639635
1088,37,0.0,0.0001975968782917131
106,38,7.245090279146737e-05,4.9473774022822614e-05
8,39,6.132950504129257e-05,0.00010662223574717072
1092,40,0.0,3.310871087475957e-05
1095,41,0.0,8.648797387186423e-05
1096,42,0.0,0.0004835049734836836
1101,43,0.0,1.25009584770459e-05
1102,44,0.0,0.00041146169058929827
1113,45,0.0,2.5469134745483305e-05
1114,46,0.0,0.00018759984446599476
1117,47,0.0,0.000980740259284102
1132,48,0.0,8.15690279740019e-05
351,49,6.494368214746187e-05,8.974698035335185e-05
37,50,0.00014146112470619405,3.318194057813175e-05
1133,51,0.0,8.886726976925801e-05
1134,52,0.0,1.7574670327662194e-06
1135,53,0.0,0.00047398806505729197
9,54,0.0001402071358783933,2.526962060030596e-05
38,55,0.000172730402132112,0.00017719565855150838
107,56,0.0009964078924411962,0.00015286209390962135
1169,57,0.0,5.199097651884735e-05
1170,58,0.0,0.00021009012496547497
1173,59,0.0,0.0006065805424486995
1189,60,0.0,9.728239697234319e-05
117,61,8.598466644397791e-05,0.0
1191,62,0.0,4.1805135180263024e-05
1205,63,0.0,8.019840991854123e-07
1206,64,0.00013019347810318326,8.019840991854123e-07
1207,65,0.0,1.9048543607364102e-06
1208,66,0.0,0.0003144185462935615
1243,67,0.0,6.459906137528757e-05
1362,68,0.0,0.0029625234994343215
1262,71,0.0,0.0008910795540471295
410,72,0.0014208234420180243,0.0013066507157039294
1232,73,0.0,3.807035287992883e-05
1697,74,0.0,0.000353388079383322
39,75,0.00016454096913847308,0.00011520437778359072
1233,76,0.0,3.1128088273342274e-06
1238,77,0.0,9.416197626970507e-05
1234,78,0.0,0.00010612249939820874
1236,79,0.0,0.00014698781330277268
40,80,9.785563943755959e-05,0.00015814196463678927
1239,81,0.0,5.0355105361785555e-05
1324,82,0.0,9.664059338345847e-07
1241,83,0.0,4.08912468013094e-05
1244,84,0.0,1.7196474507166362e-06
1245,85,0.0,1.7196474507166362e-06
41,86,0.0004360778454305552,0.0008979253142310179
1272,87,0.0,0.0018494354820411342
1315,88,0.0,1.7196474507166362e-06
118,89,8.798474038749669e-05,0.00020462235546996957
1321,90,0.0,0.0006159457764370841
1242,91,0.0,3.884786802589098e-06
1323,92,0.0,3.841204891239618e-06
119,93,7.709789461345486e-05,8.740847446612428e-07
42,94,5.663315156796285e-05,0.00030211181290017126
411,95,0.000198451605071283,9.191647322480174e-07
1338,96,0.0,4.0517305354397e-06
1340,98,0.0,3.649291771080763e-05
1325,99,0.0,0.0002041951009972192
1339,100,0.0,5.661043876361795e-06
1928,101,0.0,4.587251693268151e-05
1342,102,0.0,1.403594443542843e-05
1344,103,0.0,0.0005263200253634243
1359,104,0.0,8.669771932521184e-05
343,105,6.382886302395495e-05,5.117505885797074e-06
1360,106,0.0,5.721518126213911e-05
1456,107,0.0,4.547308860839607e-06
10,108,4.840902380638934e-06,2.5889831779624102e-06
1457,109,0.0,0.001732332452764414
1527,110,0.0,0.0003113913430414643
1531,111,0.0,7.14896382602542e-05
1533,112,0.0,2.487549234404331e-06
1577,113,0.0,0.0007257546754533747
1583,114,0.0,2.487549234404331e-06
1357,115,0.0,6.250373660064447e-06
1358,116,0.0,5.390518711950593e-06
1453,117,0.0,2.487549234404331e-06
1454,118,0.0,2.487549234404331e-06
1455,119,0.0,2.487549234404331e-06
1532,120,0.0,7.821731243488513e-05
1534,121,0.0,2.1990259423932607e-05
1535,122,0.0,0.0026611665319624467
1581,123,0.0,2.487549234404331e-06
1582,124,0.0,2.649662873681974e-06
1742,125,0.0,0.00012377906989934103
1584,126,0.0,0.00015824527709909906
43,127,0.0001032660683196154,0.0013967344876512024
1598,128,0.0,0.0005773018193691606
1605,129,0.0,1.2297053056741112e-05
108,130,0.0001252282875096423,4.882517641710603e-05
126,132,0.0001192541238277197,0.00017758693627941013
1606,133,0.0,2.372569380513551e-05
1607,134,0.0,1.2676843043505145e-06
127,135,6.0948888263007554e-05,1.0033709895909775e-05
1608,136,0.0,0.0008852641477578128
1634,137,0.0,8.494648817962079e-07
1635,138,0.0,0.000227252075790965
1636,139,0.0,0.00011928059608128796
109,140,5.704762802554295e-05,4.313199882216287e-05
1637,141,0.0,8.494648817962079e-07
1638,142,0.0,7.324693307843458e-05
1639,143,0.0,0.0005554473264184226
352,144,6.776857595926649e-05,0.0
1642,145,0.0,0.00011908445318546421
1645,146,0.0,8.00801923398179e-07
110,147,6.388634437645386e-05,0.00048711113399476757
1648,149,0.0,1.4667218069105803e-06
353,150,8.627553095909431e-05,0.0001538770229110126
111,151,0.00011701207467524054,0.0003005329446288561
11,152,0.00012871399188050248,5.9915578524252184e-05
120,153,6.973269841144824e-05,1.7731855196357352e-06
44,154,9.186063293085938e-05,0.00031699224098602865
1649,155,0.0004632093948068807,0.00017960281970483776
1662,156,0.0,8.71399593632131e-06
1663,157,0.0,0.0002582384329148616
1665,158,0.0,1.1402076880068062e-05
1666,159,0.0,8.740847446612428e-07
1667,160,0.0,8.740847446612428e-07
1668,161,0.0,0.00019435525300744684
1671,162,0.0,4.357016038725135e-06
121,163,6.594939012046599e-05,6.233639633069467e-05
2122,164,0.0,2.4643814818179394e-05
1673,165,0.0,2.807041325650549e-06
1706,166,0.0,0.0008681521894803633
122,167,3.389653565013015e-05,0.0
123,168,9.07441516803778e-05,5.65245389734217e-05
1771,169,0.0,5.564428549313245e-06
128,171,0.0003815340246898174,0.00035037489959685803
1675,172,0.0,0.0013828947243858967
1687,173,0.0,0.0022501322064716156
1696,174,0.0,5.891147746485306e-07
124,175,4.699837534198737e-05,2.165139351872462e-06
1698,176,0.0,0.00017191976199857153
1699,177,0.0,9.515277176563728e-05
12,178,0.00012808339451971898,0.00043648719294162307
1703,179,0.0,4.578950114367214e-05
1704,180,0.0,0.0004090539137962273
1705,181,0.0,2.1092591638996398e-05
13,182,9.346016586924055e-05,0.0006660507491761451
